timestep,log L for 4 msun,log T for 4 msun,,5 msun timestep,log L for 4 msun,log T for 4 msun,log L for 5 msun,log T for 5 msun,log L for 4 plus,log T for 4 plus,log L for 4 plus,log T for 4 plus
,,,,,interpolated,interpolated,,,10**0.1(log5-log4) msun,10**0.1(log5-log4) msun,10**0.2(log5-log4) msun,10**0.2(log5-log4) msun
1.00E+06,2.385,4.173,,1.00E+06,2.385,4.173,2.74,4.235,2.4205,4.1792,2.456,4.1854
2.82E+07,2.416,4.164,,1.59E+07,2.401995364,4.168065862,2.773,4.227,2.439095827,4.173959276,2.476196291,4.17985269
5.86E+07,2.462,4.155,,3.40E+07,2.424839122,4.162270607,2.822,4.218,2.46455521,4.167843546,2.504271297,4.173416485
8.46E+07,2.507,4.144,,4.89E+07,2.447243339,4.157887173,2.87,4.209,2.489519005,4.162998455,2.531794671,4.168109738
1.06E+08,2.55,4.132,,6.10E+07,2.466146323,4.153986454,2.915,4.197,2.51103169,4.158287809,2.555917058,4.162589164
1.23E+08,2.588,4.117,,7.10E+07,2.483463189,4.149753443,2.956,4.184,2.53071687,4.153178098,2.577970551,4.156602754
1.38E+08,2.621,4.099,,7.92E+07,2.497648854,4.146285836,2.993,4.167,2.547183969,4.148357252,2.596719084,4.150428668
1.47E+08,2.643,4.084,,8.43E+07,2.506522551,4.14411671,3.018,4.152,2.557670296,4.144905039,2.608818041,4.145693368
1.55E+08,2.663,4.067,,8.87E+07,2.515316399,4.141679144,3.041,4.136,2.567884759,4.14111123,2.620453119,4.140543316
1.59E+08,2.677,4.056,,9.12E+07,2.520335823,4.140278375,3.057,4.127,2.574002241,4.138950537,2.627668659,4.1376227
1.62E+08,2.69,4.053,,9.29E+07,2.523773112,4.139319131,3.071,4.124,2.578495801,4.137787218,2.63321849,4.136255305
1.64E+08,2.731,4.077,,9.43E+07,2.526447556,4.138572775,3.11,4.148,2.5848028,4.139515498,2.643158045,4.14045822
1.65E+08,2.776,4.11,,9.45E+07,2.526824652,4.138467539,3.152,4.179,2.589342187,4.142520785,2.651859721,4.146574031
1.65E+08,2.735,4.091,,9.45E+07,2.526847407,4.138461189,3.119,4.168,2.586062666,4.14141507,2.645277925,4.144368951
1.65E+08,2.798,4.041,,9.46E+07,2.527053842,4.138403579,3.178,4.095,2.592148458,4.134063221,2.657243073,4.129722863
1.65E+08,2.79,3.968,,9.47E+07,2.527330164,4.138326466,3.17,4.01,2.591597147,4.125493819,2.655864131,4.112661173
1.65E+08,2.749,3.898,,9.48E+07,2.527502847,4.138278275,3.124,3.923,2.587152563,4.116750448,2.646802278,4.09522262
1.66E+08,2.689,3.825,,9.48E+07,2.527601558,4.138250728,3.064,3.837,2.581241402,4.108125655,2.634881246,4.078000582
1.66E+08,2.618,3.754,,9.49E+07,2.527662531,4.138233712,2.994,3.754,2.574296278,4.099810341,2.620930025,4.06138697
1.66E+08,2.465,3.683,,9.49E+07,2.527751347,4.138208926,2.852,3.667,2.560176212,4.091088034,2.592601077,4.043967141
1.66E+08,3.128,3.606,,9.52E+07,2.528330371,4.138047338,3.444,3.594,2.619897334,4.083642604,2.711464297,4.029237871
